-5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
-4.705882352941176405e-01 0.000000000000000000e+00 0.000000000000000000e+00
-4.411764705882352811e-01 0.000000000000000000e+00 0.000000000000000000e+00
-4.117647058823529216e-01 0.000000000000000000e+00 0.000000000000000000e+00
-3.823529411764705621e-01 0.000000000000000000e+00 0.000000000000000000e+00
-3.529411764705882026e-01 0.000000000000000000e+00 0.000000000000000000e+00
-3.235294117647058987e-01 0.000000000000000000e+00 0.000000000000000000e+00
-2.941176470588235392e-01 0.000000000000000000e+00 0.000000000000000000e+00
-2.647058823529411797e-01 0.000000000000000000e+00 0.000000000000000000e+00
-2.352941176470588203e-01 0.000000000000000000e+00 0.000000000000000000e+00
-2.058823529411764608e-01 0.000000000000000000e+00 0.000000000000000000e+00
-1.764705882352941013e-01 0.000000000000000000e+00 0.000000000000000000e+00
-1.470588235294117974e-01 0.000000000000000000e+00 0.000000000000000000e+00
-1.176470588235294379e-01 0.000000000000000000e+00 0.000000000000000000e+00
-8.823529411764707842e-02 0.000000000000000000e+00 0.000000000000000000e+00
-5.882352941176471894e-02 0.000000000000000000e+00 0.000000000000000000e+00
-2.941176470588235947e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.941176470588235253e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.882352941176470507e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.823529411764705066e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.176470588235294101e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.470588235294117696e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.764705882352941013e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.058823529411764608e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.352941176470588203e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.647058823529411797e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.941176470588235392e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.235294117647058987e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.529411764705882026e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.823529411764705621e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.117647058823529216e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.411764705882352811e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.705882352941176405e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
